ProjectSize,Budget,NumberOfWorkers,WeatherConditions,MaterialAvailability,TargetCompletionDate,Delayed,ProjectManagerExperience,SubcontractorReliability,RegulatoryApprovalStatus,SiteAccessibility,DailyWorkHours,NumberOfSubcontractors,ResourceAvailability,ClientDemand,EconomicConditions,PreviousDelays
554693.0,1431665.0,339.0,Sunny,Low,2023-08-05,1.0,12.0,Low,Pending,Good,9.0,5.0,Medium,Low,Unfavorable,0.0
962240.0,1258378.0,383.0,Snowy,Medium,2023-02-21,0.0,19.0,Low,Approved,Good,10.0,10.0,,Medium,Neutral,0.0
,2799648.0,309.0,Sunny,Low,2025-04-04,,16.0,Medium,,Poor,8.0,11.0,High,High,Neutral,2.0
357638.0,3784610.0,57.0,Sunny,Low,2023-08-25,0.0,3.0,Low,Pending,Poor,9.0,15.0,High,High,Unfavorable,3.0
442008.0,3173921.0,376.0,Rainy,Low,2024-12-18,0.0,13.0,,Pending,Good,6.0,14.0,Medium,Medium,,1.0
453732.0,2439659.0,198.0,Sunny,Medium,2025-06-17,0.0,5.0,Low,Approved,Good,6.0,3.0,Low,High,Unfavorable,2.0
900842.0,3841110.0,463.0,Cloudy,Medium,,0.0,11.0,High,Approved,Good,6.0,4.0,Medium,Low,Unfavorable,0.0
885430.0,2996201.0,51.0,Rainy,High,2024-07-31,1.0,3.0,Medium,Rejected,Poor,6.0,2.0,,Low,Unfavorable,2.0
107066.0,1463802.0,127.0,Rainy,Low,2025-09-16,0.0,11.0,Medium,Pending,Poor,7.0,7.0,Low,High,Unfavorable,3.0
635291.0,2950503.0,,Cloudy,Low,,0.0,14.0,Medium,Rejected,Poor,11.0,19.0,High,High,,2.0
311244.0,3588290.0,367.0,Sunny,Medium,2023-11-30,1.0,10.0,Medium,Approved,Poor,9.0,5.0,,,Favorable,0.0
569071.0,682468.0,,Sunny,High,2024-06-11,0.0,15.0,Medium,Rejected,,7.0,4.0,Medium,Low,Neutral,1.0
,2667468.0,184.0,Sunny,High,2024-03-17,1.0,19.0,Medium,,Good,11.0,15.0,High,High,Favorable,4.0
651496.0,2346684.0,280.0,Cloudy,High,2025-11-12,0.0,17.0,Medium,Pending,Poor,9.0,2.0,Medium,High,Favorable,2.0
878676.0,2736512.0,72.0,Snowy,,2023-03-06,,3.0,Low,Pending,Moderate,9.0,14.0,Low,High,Favorable,2.0
440535.0,3884182.0,218.0,Sunny,High,2023-11-15,0.0,5.0,Medium,,Poor,11.0,9.0,Medium,Medium,Neutral,2.0
189304.0,2149807.0,487.0,Rainy,Low,2024-11-18,,,Medium,,Moderate,8.0,3.0,High,Medium,Neutral,1.0
915345.0,2919243.0,342.0,Cloudy,Low,2025-04-23,0.0,1.0,Medium,,Good,8.0,13.0,High,,Favorable,4.0
268460.0,2065738.0,372.0,Snowy,Medium,2024-05-23,1.0,2.0,Medium,Approved,Poor,,19.0,Medium,Low,Neutral,2.0
902813.0,3241465.0,453.0,Rainy,High,2024-12-16,0.0,14.0,High,Rejected,Moderate,11.0,,Low,Medium,,
454998.0,3274003.0,186.0,Rainy,Low,2024-03-20,0.0,6.0,,Pending,Moderate,7.0,8.0,Medium,Medium,Favorable,2.0
898697.0,2613680.0,65.0,Sunny,Medium,2024-01-08,,2.0,Low,Rejected,,8.0,14.0,Low,High,Favorable,4.0
577524.0,4729959.0,,Sunny,Medium,2024-05-15,0.0,14.0,Medium,,Good,6.0,15.0,High,High,Unfavorable,3.0
656771.0,,456.0,Rainy,Low,2024-02-18,0.0,2.0,Medium,Pending,Moderate,,3.0,High,Low,Favorable,4.0
185608.0,1969307.0,295.0,,Low,2024-09-07,0.0,17.0,Medium,Rejected,Moderate,8.0,12.0,Medium,High,Favorable,
153870.0,1026166.0,449.0,Sunny,High,2023-11-05,1.0,6.0,,Rejected,,8.0,18.0,High,Low,,2.0
328684.0,2563874.0,158.0,Cloudy,Medium,2024-12-28,0.0,16.0,High,Approved,Poor,9.0,9.0,Medium,Medium,Unfavorable,1.0
343783.0,4987406.0,391.0,Rainy,Low,2024-06-01,0.0,,High,Rejected,Poor,10.0,,High,High,Favorable,2.0
342917.0,3502807.0,137.0,Snowy,Low,2024-09-28,0.0,9.0,High,Pending,Good,10.0,17.0,High,High,Unfavorable,0.0
720810.0,4279512.0,131.0,Sunny,Medium,2023-11-18,0.0,15.0,High,Pending,Good,11.0,,High,High,Favorable,1.0
654403.0,836525.0,,Cloudy,High,2023-01-24,0.0,19.0,High,Approved,Poor,7.0,12.0,High,High,Neutral,3.0
565073.0,2212724.0,164.0,Rainy,Low,2023-04-25,0.0,2.0,Medium,Pending,Poor,10.0,10.0,Medium,Low,Neutral,3.0
315519.0,2834733.0,421.0,Sunny,Medium,2025-12-08,1.0,16.0,Medium,,Poor,11.0,8.0,High,High,Unfavorable,2.0
,3470312.0,400.0,Sunny,Low,2025-04-02,1.0,14.0,Low,Approved,Moderate,7.0,7.0,Low,Medium,Favorable,1.0
,1702893.0,372.0,Sunny,Medium,2023-09-10,1.0,15.0,,Pending,Poor,6.0,8.0,Low,,Unfavorable,
192865.0,1095589.0,100.0,Rainy,Medium,2025-12-20,0.0,3.0,High,Approved,Good,10.0,15.0,,Medium,Neutral,3.0
569663.0,3983203.0,114.0,Sunny,Low,2024-04-01,1.0,18.0,High,Approved,Good,10.0,11.0,High,Medium,Neutral,2.0
930955.0,2098697.0,57.0,Sunny,Medium,2024-07-15,1.0,,Low,Pending,Moderate,9.0,12.0,Low,Low,Unfavorable,0.0
779531.0,772235.0,485.0,Sunny,Low,2025-07-09,1.0,19.0,Medium,Approved,Good,11.0,2.0,Low,Medium,Favorable,4.0
266955.0,644356.0,227.0,Sunny,,,0.0,,Medium,Approved,Moderate,8.0,8.0,High,Low,,4.0
345116.0,3928097.0,275.0,Snowy,Low,2025-07-24,1.0,2.0,High,Rejected,Poor,11.0,4.0,Low,High,Favorable,
901421.0,3148830.0,92.0,Rainy,Medium,2023-05-03,,4.0,Medium,Approved,,9.0,,Medium,Low,Favorable,
674614.0,645873.0,,Cloudy,Medium,2024-01-15,0.0,19.0,Medium,Approved,Poor,8.0,16.0,High,Medium,,4.0
568285.0,3232195.0,159.0,Snowy,Medium,2024-07-17,0.0,6.0,Low,Pending,Good,11.0,13.0,Low,,Favorable,2.0
,2329536.0,421.0,Sunny,Low,2023-08-30,0.0,16.0,High,Rejected,Good,7.0,19.0,Low,High,Neutral,3.0
